Model,Year,Region,Color,Fuel Type,Base Price (USD),Horsepower,Sales Volume,Turbo
G-Class,2025,Global,Silver,Electric,368078,524,1,Yes
A-Class,2024,Global,Blue,Petrol,40747,417,1,Yes
C-Class,2020,Global,Blue,Diesel,58661,259,1,Yes
GLC,2021,Global,Silver,Diesel,147956,410,1,No
G-Class,2022,Global,White,Diesel,263074,580,1,Yes
AMG C 63,2025,Global,Red,Electric,390531,485,1,Yes
GLC,2023,Global,Brown,Petrol,76967,227,1,Yes
E-Class,2023,Global,White,Petrol,45249,242,1,Yes
GLB,2020,Global,Silver,Petrol,48370,301,1,Yes
GLA,2023,Global,Black,Petrol,58079,171,1,Yes
GLS,2023,Global,Grey,Diesel,270511,387,1,No
E-Class,2022,Global,Grey,Petrol,51987,417,1,Yes
E-Class,2021,Global,Red,Diesel,48493,242,1,Yes
E-Class,2024,Global,Black,Hybrid,95549,387,1,No
CLA,2024,Global,White,Diesel,94410,260,1,No
CLA,2020,Global,Grey,Petrol,63199,303,1,No
E-Class,2020,Global,Red,Diesel,70746,388,1,No
GLC,2023,Global,Grey,Hybrid,162989,375,1,Yes
C-Class,2024,Global,Black,Petrol,66569,396,1,Yes
S-Class,2025,Global,Silver,Petrol,393143,330,1,Yes
A-Class,2020,Global,Blue,Diesel,43474,362,1,Yes
GLA,2021,Global,White,Diesel,88314,355,1,Yes
AMG C 63,2025,Global,Silver,Petrol,390366,482,1,Yes
GLS,2020,Global,Silver,Petrol,121144,523,1,Yes
CLA,2022,Global,Black,Hybrid,70773,313,1,Yes
GLE,2025,Global,Black,Hybrid,171205,476,1,Yes
GLE,2021,Global,Black,Diesel,128412,459,1,Yes
AMG C 63,2024,Global,White,Diesel,288628,482,1,Yes
GLE,2023,Global,Brown,Petrol,87422,608,1,Yes
C-Class,2025,Global,Silver,Petrol,70954,437,1,No
CLA,2021,Global,Black,Petrol,60660,332,1,Yes
CLS,2023,Global,Silver,Petrol,58277,424,1,Yes
GLE,2021,Global,Black,Petrol,102109,442,1,Yes
C-Class,2024,Global,Black,Petrol,68749,479,1,Yes
GLA,2021,Global,Grey,Petrol,67013,268,1,Yes
GLE,2022,Global,Blue,Petrol,136389,368,1,No
A-Class,2024,Global,Silver,Petrol,52917,261,1,Yes
GLB,2021,Global,Blue,Petrol,43638,304,1,Yes
GLB,2021,Global,Grey,Diesel,44166,329,1,Yes
E-Class,2022,Global,White,Petrol,80787,373,1,Yes
C-Class,2023,Global,White,Petrol,40451,459,1,Yes
A-Class,2020,Global,Black,Diesel,84334,289,1,Yes
G-Class,2023,Global,Grey,Diesel,139859,479,1,Yes
C-Class,2024,Global,Grey,Petrol,56182,288,1,Yes
E-Class,2025,Global,Orange,Hybrid,86020,327,1,Yes
GLB,2020,Global,White,Petrol,74079,379,1,Yes
E-Class,2020,Global,Black,Petrol,46423,515,1,No
GLE,2023,Global,Silver,Petrol,143117,361,1,Yes
GLC,2023,Global,Black,Petrol,129093,390,1,No
GLC,2022,Global,Red,Petrol,97204,235,1,Yes
E-Class,2023,Global,Brown,Hybrid,96923,354,1,Yes
C-Class,2024,Global,Grey,Petrol,77980,285,1,Yes
GLE,2021,Global,Yellow,Hybrid,84622,464,1,Yes
GLE,2021,Global,Black,Diesel,123627,357,1,Yes
GLA,2025,Global,White,Diesel,49946,161,1,Yes
GLC,2025,Global,Yellow,Hybrid,95111,336,1,Yes
GLE,2021,Global,Black,Diesel,106301,297,1,No
G-Class,2023,Global,Red,Diesel,165853,542,1,Yes
GLC,2021,Global,Blue,Petrol,78664,432,1,Yes
GLC,2020,Global,Silver,Petrol,65052,290,1,Yes
GLA,2023,Global,Silver,Diesel,85837,329,1,Yes
S-Class,2020,Global,Silver,Petrol,278765,714,1,Yes
GLA,2020,Global,Silver,Petrol,85055,236,1,No
E-Class,2020,Global,White,Petrol,66695,526,1,Yes
GLA,2024,Global,White,Petrol,77077,327,1,Yes
GLC,2023,Global,Yellow,Hybrid,133007,381,1,Yes
E-Class,2020,Global,White,Diesel,42201,232,1,Yes
GLC,2023,Global,White,Diesel,117148,425,1,Yes
GLC,2020,Global,Black,Petrol,101869,292,1,Yes
S-Class,2021,Global,White,Petrol,146755,525,1,Yes
A-Class,2024,Global,Grey,Electric,57748,320,1,Yes
GLC,2022,Global,Black,Petrol,108841,478,1,Yes
GLA,2024,Global,White,Hybrid,64986,192,1,Yes
GLE,2025,Global,Blue,Petrol,139355,299,1,Yes
GLE,2023,Global,Black,Hybrid,157222,404,1,Yes
CLA,2021,Global,Black,Diesel,87164,390,1,Yes
A-Class,2024,Global,White,Electric,70455,282,1,Yes
E-Class,2020,Global,Silver,Petrol,41165,400,1,Yes
E-Class,2024,Global,Grey,Diesel,97199,532,1,Yes
GLB,2021,Global,Green,Diesel,62772,367,1,Yes
GLB,2025,Global,Silver,Hybrid,99791,215,1,Yes
E-Class,2020,Global,Red,Petrol,85277,452,1,Yes
A-Class,2020,Global,Red,Diesel,65583,296,1,Yes
GLE,2024,Global,White,Hybrid,71545,566,1,No
A-Class,2023,Global,Silver,Petrol,77698,196,1,No
A-Class,2024,Global,Silver,Electric,74650,348,1,Yes
GLB,2020,Global,White,Petrol,45905,251,1,Yes
GLE,2023,Global,White,Electric,124494,327,1,Yes
GLE,2024,Global,Yellow,Petrol,123825,267,1,Yes
E-Class,2020,Global,White,Diesel,73950,558,1,Yes
A-Class,2024,Global,Grey,Hybrid,100701,224,1,No
GLC,2025,Global,Silver,Petrol,146675,401,1,Yes
GLB,2024,Global,Silver,Petrol,98196,282,1,Yes
C-Class,2022,Global,Silver,Diesel,90088,443,1,Yes
